position,team_id,team_name,played,won,draw,lost,goals_for,goals_against,goal_difference,points,form
1,57,Arsenal FC,36,24,7,5,68,26,42,79,"W,W,W,L,L"
2,65,Manchester City FC,35,22,8,5,72,32,40,74,"W,D,W,W,W"
3,66,Manchester United FC,36,18,11,7,63,48,15,65,"D,W,W,W,L"
4,64,Liverpool FC,36,17,8,11,60,48,12,59,"D,L,W,W,W"
5,58,Aston Villa FC,36,17,8,11,50,46,4,59,"D,L,L,W,D"
6,1044,AFC Bournemouth,36,13,16,7,56,52,4,55,"W,W,D,W,W"
7,397,Brighton & Hove Albion FC,36,14,11,11,52,42,10,53,"W,L,W,D,W"
8,402,Brentford FC,36,14,9,13,52,49,3,51,"L,W,L,D,D"
9,61,Chelsea FC,36,13,10,13,55,49,6,49,"D,L,L,L,L"
10,62,Everton FC,36,13,10,13,46,46,0,49,"D,D,L,L,D"
11,63,Fulham FC,36,14,6,16,44,50,-6,48,"L,L,W,D,L"
12,71,Sunderland AFC,36,12,12,12,37,46,-9,48,"D,D,L,L,W"
13,67,Newcastle United FC,36,13,7,16,50,52,-2,46,"D,W,L,L,L"
14,354,Crystal Palace FC,35,11,11,13,38,44,-6,44,"D,L,L,D,W"
15,351,Nottingham Forest FC,36,11,10,15,45,47,-2,43,"D,W,W,W,D"
16,341,Leeds United FC,35,10,13,12,47,52,-5,43,"W,D,W,W,D"
17,73,Tottenham Hotspur FC,35,9,10,16,45,54,-9,37,"W,W,D,L,L"
18,563,West Ham United FC,36,9,9,18,42,62,-20,36,"L,L,W,D,W"
19,328,Burnley FC,36,4,9,23,37,73,-36,21,"D,L,L,L,L"
20,76,Wolverhampton Wanderers FC,36,3,9,24,25,66,-41,18,"L,D,L,L,L"
